m,target_svi,composite
0.855,0.7983738919247538,0.8729993168945311
0.86,0.7953314162519448,0.8706718662109374
0.865,0.7923539475588088,0.8683444155273436
0.87,0.789442436600108,0.8660169648437499
0.875,0.7865978222524638,0.8636895141601562
0.88,0.7838210287181239,0.8613620634765624
0.885,0.7811129626543161,0.8590346127929687
0.89,0.7784745102390143,0.8567071621093749
0.895,0.7759065341852001,0.8543797114257812
0.9,0.7734098707169265,0.8520522607421874
0.905,0.7709853265216647,0.8497248100585936
0.91,0.7686336756945156,0.8473973593749998
0.915,0.7663556566908698,0.8450699086914061
0.9199999999999999,0.7641519693049909,0.8427424580078124
0.925,0.7620232716927494,0.8404150073242186
0.9299999999999999,0.7599701774573219,0.8380875566406248
0.935,0.7579932528170904,0.8357601059570311
0.94,0.756093013875195,0.8334326552734374
0.9450000000000001,0.7542699240101993,0.8311052045898436
0.95,0.7525243914071208,0.8287777539062499
0.9550000000000001,0.7508567667476319,0.8288103056640623
0.96,0.7492673410775557,0.8288428574218749
0.9650000000000001,0.7477563438688704,0.8288754091796874
0.97,0.7463239412922874,0.8289079609374999
0.9750000000000001,0.7449702347150882,0.8289405126953124
0.98,0.7436952594373388,0.8289730644531249
0.985,0.7424989836778064,0.8290056162109374
0.99,0.7413813078189716,0.8290381679687499
0.995,0.7403420639184244,0.8290707197265624
1.0,0.7393810154917319,0.8291032714843749
1.005,0.7384978575695653,0.8291358232421874
1.01,0.7376922170295312,0.829168375
1.0150000000000001,0.7369636532007902,0.8292009267578124
1.02,0.7363116587372069,0.8292334785156249
1.025,0.7357356607524882,0.8292660302734374
1.03,0.7352350222085697,0.82929858203125
1.0350000000000001,0.7348090435464404,0.8293311337890624
1.04,0.7344569645466679,0.8293636855468749
1.045,0.734177966405143,0.8293962373046875
1.05,0.7339711740080183,0.8294287890625
1.0550000000000002,0.7338356583884842,0.8310075493164062
1.06,0.7337704393469313,0.8325863095703124
1.065,0.7337744882151892,0.8341650698242187
1.07,0.7338467307449221,0.835743830078125
1.075,0.7339860500998875,0.8373225903320312
1.08,0.7341912899316365,0.8389013505859375
1.085,0.7344612575183317,0.8404801108398438
1.09,0.7347947269466715,0.84205887109375
1.095,0.7351904423174288,0.8436376313476562
1.1,0.7356471209558084,0.8452163916015625
1.105,0.7361634566086875,0.8467951518554687
1.11,0.7367381226118074,0.8483739121093751
1.115,0.7373697750111027,0.8499526723632812
1.12,0.7380570556235653,0.8515314326171876
1.125,0.7387985950243319,0.8531101928710938
1.1300000000000001,0.7395930154480138,0.854688953125
1.135,0.7404389335936562,0.8562677133789063
1.1400000000000001,0.7413349633240837,0.8578464736328125
1.145,0.7422797182517568,0.8594252338867188
1.15,0.7432718142045965,0.861003994140625
1.155,0.7443098715665366,0.8627292373046875
1.1600000000000001,0.7453925174888039,0.8644544804687501
1.165,0.7465183879691114,0.8661797236328125
1.17,0.7476861297970563,0.867904966796875
1.175,0.7488944023650498,0.8696302099609375
1.1800000000000002,0.7501418793450504,0.8713554531250001
1.185,0.7514272502322418,0.8730806962890625
1.19,0.7527492217575662,0.874805939453125
1.195,0.7541065191717214,0.8765311826171875
1.2000000000000002,0.7554978874038255,0.8782564257812501
1.205,0.7569220920984786,0.8799816689453125
1.21,0.7583779205353934,0.8817069121093749
1.215,0.7598641824361225,0.8834321552734374
1.2200000000000002,0.7613797106627084,0.8851573984375
1.225,0.7629233618133062,0.8868826416015625
1.23,0.7644940167199886,0.8886078847656249
1.235,0.7660905808540523,0.8903331279296874
1.2400000000000002,0.7677119846441948,0.89205837109375
1.245,0.7693571837129453,0.8937836142578125
1.25,0.7710251590366958,0.8955088574218749
