Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
KNTK,45832,4.08,7675045,33,GC,45831,4.08,0,0,-2817,FALSE,41.59,TRUE
SCOR,45832,4.08,265525,17,GC,45831,4.08,0,0,-5,FALSE,4.84,TRUE
RPRX,45832,4.08,86756848,35,GC,45831,4.08,0,0,-99270,FALSE,35.4,TRUE
KLXE,45832,3.3939,652025,17,HTB,45831,3.335,0.0589,0,-59378,TRUE,2.12,TRUE
JPPYY,45832,0.1135,151260,5,HTB,45831,0.1135,0,0,-179,FALSE,0.0002,TRUE
RYTM,45832,4.08,9877370,36,GC,45831,4.08,0,0,-1246,FALSE,62.13,TRUE
PEG,45832,4.08,141326947,45,GC,45831,4.08,0,0,-18930,TRUE,83.34,TRUE
IYT,45832,4.08,1525518,10,GC,45831,4.08,0,0,-4309,TRUE,66.32,TRUE
PWP,45832,4.08,12563427,33,GC,45831,4.08,0,0,0,TRUE,18.65,TRUE
PRMB,45832,4.08,67191750,37,GC,45831,4.08,0,0,-53150,TRUE,30.08,TRUE
CCLD,45832,-3.3127,1338427,17,HTB,45831,-3.4927,0.18,0,-701,TRUE,2.49,TRUE
DRRX,45832,2.7874,1465010,12,HTB,45831,2.8831,-0.0957,0,-917,FALSE,0.62,TRUE
PLYA/RT,,,,,,,,,0,-3379,FALSE,,TRUE
RTO,45832,4.08,11435740,23,GC,45831,4.08,0,0,-5357,FALSE,23.51,TRUE
TXMD,45832,-16.6477,228308,15,HTB,45831,-16.9916,0.3439,0,-2404,TRUE,1.11,TRUE
EWZ,45832,2.3721,617393,23,HTB,45831,2.3465,0.0256,0,-294744,TRUE,27.66,TRUE
DAVE,45832,4.08,1528852,34,GC,45831,4.08,0,0,-22182,TRUE,214.73,TRUE
QRHC,45832,3.5187,886534,16,HTB,45831,3.5246,-0.0059,0,-2500,FALSE,2.14,TRUE
PPC,45832,4.08,5357806,40,GC,45831,4.08,0,0,-2718,TRUE,46.08,TRUE
DCOM,45832,4.08,6861723,31,GC,45831,4.08,0,0,-648,TRUE,27.13,TRUE
FIX,45832,4.08,12015681,44,GC,45831,4.08,0,0,-223,FALSE,502.98,TRUE
BRDG,45832,4.08,5334114,29,GC,45831,4.08,0,0,-24417,FALSE,9.49,TRUE
PCOR,45832,4.08,28721615,35,GC,45831,4.08,0,0,-6088,TRUE,66.18,TRUE
SD,45832,4.08,5966356,34,GC,45831,4.08,0,0,-38676,TRUE,11.53,TRUE
IDR,45832,4.08,529892,15,GC,45831,4.08,0,0,-156667,TRUE,14.07,TRUE
